#Mass concentration relation at redshift z=0, Ludlow et al. (2016)
#Mass[0] [1e10 Msun/h]    Concentration[		    

-23.848484  2.0279193
-23.545454  2.0279193
-23.242424  2.0279193
-22.939394  2.0279193
-22.636362  2.0279193
-22.333332  2.0279193
-22.030302  2.0279193
-21.727272  2.0279193
-21.424242  2.0333123
-21.121212  2.0479565
-20.818180  2.0734675
-20.515150  2.1152275
-20.212120  2.1782489
-19.909090  2.2693908
-19.606060  2.3949568
-19.303030  2.5752006
-19.000000  2.8343945
-18.696968  3.2071257
-18.393938  3.7407134
-18.090908  4.4903369
-17.787878  5.5169001
-17.484848  6.8868761
-17.181816  8.6644459
-16.878788  10.901298
-16.575756  13.611573
-16.272726  16.741541
-15.969697  20.144777
-15.666667  23.597193
-15.363636  26.858343
-15.060606  29.731205
-14.757576  32.074829
-14.454545  33.820705
-14.151515  34.977184
-13.848485  35.641129
-13.545454  35.928364
-13.242424  35.946026
-12.939394  35.781719
-12.636363  35.488403
-12.333333  35.116299
-12.030303  34.685585
-11.727273  34.223778
-11.424242  33.736580
-11.121212  33.237274
-10.818182  32.721008
-10.515151  32.199017
-10.212121  31.672037
-9.9090910  31.140345
-9.6060600  30.602217
-9.3030300  30.059790
-9.0000000  29.514202
-8.6969690  28.965611
-8.3939390  28.414282
-8.0909090  27.857750
-7.7878790  27.297817
-7.4848490  26.735876
-7.1818171  26.172865
-6.8787870  25.604166
-6.5757570  25.033627
-6.2727270  24.460686
-5.9696970  23.884912
-5.6666670  23.305315
-5.3636351  22.724941
-5.0606050  22.142563
-4.7575750  21.556210
-4.4545450  20.967888
-4.1515150  20.377584
-3.8484848  19.783878
-3.5454547  19.189070
-3.2424228  18.594816
-2.9393928  17.995642
-2.6363628  17.397612
-2.3333328  16.798666
-2.0303028  16.197426
-1.7272729  15.595673
-1.4242409  14.991909
-1.1212109  14.388950
-0.8181809  13.785049
-0.5151509  13.182163
-0.2121208  12.580008
0.09090915  11.980127
0.39393917  11.383842
0.69697106  10.792124
1.0000011   10.205142
1.3030311   9.6241541
1.6060611   9.0526667
1.9090911   8.4898605
2.2121212   7.9371715
2.5151532   7.3982844
2.8181832   6.8734317
3.1212132   6.3650227
3.4242432   5.8761845
3.7272732   5.4085889
4.0303030   4.9651165
4.3333349   4.5487847
4.6363649   4.1625857
4.9393950   3.8093977
5.2424250   3.4908748
5.5454550   3.2093329
5.8484850   2.9650028
6.1515150   2.7566972

